state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
AK,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,4,0,11
AK,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,1,8,2,9
AK,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,3,6,3,8
AK,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,7,0,6,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,0,5,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,7,0,5,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,4,0,4,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,10,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,10,0,10,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,11,0,9,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,8,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,17,1,3,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AK,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,12,0,8,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,18,6,45
AL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,5,45,13,23
AL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,51,19,14
AL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,70,0,5,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,14,1,35,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,15,0,35,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,37,5,22,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,30,0,41,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_CABG,Rate of readmission for CABG,0,20,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,51,0,35,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,63,0,23,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,34,0,15,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,79,0,7,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,72,0,14,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,19,3,34
AR,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,5,35,10,26
AR,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,3,47,13,13
AR,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,51,0,11,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,13,0,30,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,15,0,30,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,28,7,15,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,27,0,31,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_CABG,Rate of readmission for CABG,0,13,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,38,0,37,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,49,1,26,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,19,1,19,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,66,1,7,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AR,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,62,1,13,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5.0,07/01/2020,06/30/2023,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5.0,07/01/2020,06/30/2023,Not Available,Not Available,Not Available,Not Available
AS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5.0,07/01/2020,06/30/2023,Not Available,Not Available,Not Available,Not Available
AS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5.0,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5.0,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5.0,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5.0,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
