facility_name,facility_id,npi,citytown,state,zip_code,year,asc1_rate,asc1_footnote,asc2_rate,asc2_footnote,asc3_rate,asc3_footnote,asc4_rate,asc4_footnote,asc9_rate,asc9_footnote,asc11_rate,asc11_footnote,asc12_total_cases,asc12_performance_category,asc12_rshv_rate,asc12_interval_lower_limit,asc12_interval_upper_limit,asc12_footnote,asc13_rate,asc13_footnote,asc14_rate,asc14_footnote,asc17_total_cases,asc17_performance_category,asc17_rshv_rate,asc17_interval_lower_limit,asc17_interval_upper_limit,asc17_footnote,asc18_total_cases,asc18_performance_category,asc18_rshv_rate,asc18_interval_lower_limit,asc18_interval_upper_limit,asc18_footnote,asc19_total_cases,asc19_performance_category,asc19_rshv_rate,asc19_interval_lower_limit,asc19_interval_upper_limit,asc19_footnote,asc20_sample,asc20_rate,asc20_footnote
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687.0,2023,0.0,,0.05,,0.0,,0.12,,74.17,,,5.0,1178.0,No Different Than the National Rate,12.0,8.9,16.3,,97.5,,0.0,,162.0,No Different Than the National Rate,2.2,1.4,3.3,,,Number of Cases Too Small,,,,1.0,,Number of Cases Too Small,,,,1.0,,,5.0
THE SURGERY CENTER AT NORTHBAY VACA VALLEY,05C0001831,1003015843,VACAVILLE,CA,95687.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,78.0,0.0,
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,34.0,No Different Than the National Rate,10.2,7.0,14.9,,,5.0,,5.0,338.0,No Different Than the National Rate,2.3,1.6,3.4,,,Number of Cases Too Small,,,,1.0,45.0,No Different than expected,1.0,0.5,1.8,,,,5.0
CARLSBAD SURGERY CENTER LLC,05C0001873,1003017351,CARLSBAD,CA,92011.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,92.0,100.0,
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540.0,2023,,5.0,,5.0,,5.0,0.43,,99.6,,,5.0,2412.0,No Different Than the National Rate,10.6,8.2,13.9,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,28.0,No Different than expected,1.0,0.5,1.8,,,,5.0
MIDWEST ENDOSCOPY CENTER LLC,14C0001134,1003036310,NAPERVILLE,IL,60540.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,124.0,12.3,
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,82.0,No Different Than the National Rate,2.5,1.6,3.9,,,,,,,5.0,80.0,No Different than expected,1.2,0.6,2.1,,,,5.0
ADVANCED SURGICAL CARE OF BATON ROUGE LLC,19C0001115,1003062274,BATON ROUGE,LA,70808.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,89.0,84.9,
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691.0,2023,0.0,,0.02,,0.0,,0.02,,82.07,,,5.0,422.0,No Different Than the National Rate,9.4,6.5,13.4,,99.4,,0.0,,186.0,No Different Than the National Rate,2.3,1.5,3.4,,51.0,No Different Than the National Rate,6.7,4.4,10.3,,,Number of Cases Too Small,,,,1.0,,,5.0
WASC LLC DBA WOOSTER AMBULATORY SURGERY CENTER,36C0001248,1003079187,WOOSTER,OH,44691.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,45.0,6.7,
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054.0,2023,0.0,,0.09,,0.0,,0.14,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,277.0,No Different Than the National Rate,2.4,1.6,3.6,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
NEW ALBANY SURGERY CENTER LLC,36C0001267,1003103474,NEW ALBANY,OH,43054.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,76.0,55.6,
CITY PL SURGERY CENTER,26C0001033,1003110792,CREVE COUER,MO,63141.0,2023,0.05,,,5.0,0.05,,0.1,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,533.0,No Different Than the National Rate,2.3,1.6,3.4,,,,,,,5.0,43.0,No Different than expected,0.9,0.5,1.8,,,,5.0
