state,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
Alabama,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,84.0,13.0,3.0,94.0,82.0,16.0,2.0,93.0,59138.0,14843.0,26.0,07/01/2023,06/30/2024
Alaska,95.0,4.0,1.0,97.0,93.0,6.0,1.0,96.0,81.0,15.0,4.0,92.0,79.0,18.0,3.0,92.0,5113.0,723.0,15.0,07/01/2023,06/30/2024
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,96.0,4.0,0.0,98.0,90.0,8.0,2.0,94.0,83.0,13.0,4.0,93.0,79.0,17.0,4.0,91.0,23883.0,6455.0,27.0,07/01/2023,06/30/2024
Arkansas,97.0,3.0,0.0,98.0,90.0,8.0,2.0,94.0,83.0,14.0,3.0,93.0,78.0,19.0,3.0,91.0,19982.0,4175.0,21.0,07/01/2023,06/30/2024
California,96.0,3.0,1.0,98.0,90.0,8.0,2.0,94.0,85.0,12.0,3.0,94.0,82.0,15.0,3.0,92.0,357066.0,90146.0,25.0,07/01/2023,06/30/2024
Colorado,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,86.0,12.0,2.0,94.0,83.0,15.0,2.0,93.0,89995.0,19860.0,22.0,07/01/2023,06/30/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,97.0,3.0,0.0,99.0,92.0,6.0,2.0,95.0,86.0,12.0,2.0,94.0,84.0,14.0,2.0,94.0,38321.0,9096.0,24.0,07/01/2023,06/30/2024
Delaware,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,87.0,10.0,3.0,94.0,82.0,16.0,2.0,93.0,7583.0,1879.0,25.0,07/01/2023,06/30/2024
District of Columbia,94.0,5.0,1.0,97.0,89.0,9.0,2.0,94.0,77.0,19.0,4.0,91.0,76.0,19.0,5.0,90.0,16259.0,2633.0,16.0,07/01/2023,06/30/2024
Florida,96.0,3.0,1.0,98.0,91.0,7.0,2.0,94.0,86.0,11.0,3.0,94.0,84.0,13.0,3.0,93.0,101862.0,25023.0,25.0,07/01/2023,06/30/2024
Georgia,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,87.0,11.0,2.0,94.0,83.0,15.0,2.0,93.0,72020.0,14009.0,20.0,07/01/2023,06/30/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96.0,4.0,0.0,98.0,91.0,8.0,1.0,95.0,83.0,14.0,3.0,93.0,81.0,17.0,2.0,92.0,18579.0,5472.0,30.0,07/01/2023,06/30/2024
Idaho,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,85.0,13.0,2.0,94.0,80.0,18.0,2.0,93.0,20816.0,5179.0,26.0,07/01/2023,06/30/2024
