state,measure_id,measure_name,score,footnote,start_date,end_date
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.482,,07/01/2023,06/30/2024
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.138,,07/01/2023,06/30/2024
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.758,,07/01/2023,06/30/2024
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.337,,07/01/2023,06/30/2024
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.935,,07/01/2023,06/30/2024
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.580,,07/01/2023,06/30/2024
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.839,,07/01/2023,06/30/2024
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.944,,07/01/2023,06/30/2024
AK,HAI_3_SIR,SSI - Colon Surgery,1.305,,07/01/2023,06/30/2024
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.295,,07/01/2023,06/30/2024
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,3.155,,07/01/2023,06/30/2024
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.159,,07/01/2023,06/30/2024
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.257,,07/01/2023,06/30/2024
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.901,,07/01/2023,06/30/2024
AK,HAI_5_SIR,MRSA Bacteremia,0.506,,07/01/2023,06/30/2024
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.232,,07/01/2023,06/30/2024
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.450,,07/01/2023,06/30/2024
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.327,,07/01/2023,06/30/2024
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.830,,07/01/2023,06/30/2024
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.050,,07/01/2023,06/30/2024
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.935,,07/01/2023,06/30/2024
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.487,,07/01/2023,06/30/2024
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.617,,07/01/2023,06/30/2024
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.549,,07/01/2023,06/30/2024
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.616,,07/01/2023,06/30/2024
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.872,,07/01/2023,06/30/2024
AL,HAI_3_SIR,SSI - Colon Surgery,0.736,,07/01/2023,06/30/2024
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.476,,07/01/2023,06/30/2024
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.887,,07/01/2023,06/30/2024
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.658,,07/01/2023,06/30/2024
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.808,,07/01/2023,06/30/2024
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.069,,07/01/2023,06/30/2024
AL,HAI_5_SIR,MRSA Bacteremia,0.932,,07/01/2023,06/30/2024
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.440,,07/01/2023,06/30/2024
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.508,,07/01/2023,06/30/2024
