facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
10001,SOUTHEAST HEALTH MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301.0,HOUSTON,(334) 793-8701,,,,,,,,,,,,,,,,,4,,,,,
10005,MARSHALL MEDICAL CENTERS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957.0,MARSHALL,(256) 593-8310,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,88.0,10.0,2.0,95.0,83.0,15.0,2.0,93.0,,3015.0,732.0,24.0,07/01/2023,06/30/2024
10006,NORTH ALABAMA MEDICAL CENTER,1701 VETERANS DRIVE,FLORENCE,AL,35630.0,LAUDERDALE,(256) 629-1000,97.0,3.0,0.0,98.0,93.0,5.0,2.0,96.0,82.0,16.0,2.0,93.0,75.0,23.0,2.0,91.0,,1921.0,364.0,20.0,07/01/2023,06/30/2024
10007,MIZELL MEMORIAL HOSPITAL,702 N MAIN ST,OPP,AL,36467.0,COVINGTON,(334) 493-3541,,,,,,,,,,,,,,,,,4,,,,,
10008,CRENSHAW COMMUNITY HOSPITAL,101 HOSPITAL CIRCLE,LUVERNE,AL,36049.0,CRENSHAW,(334) 335-3374,96.0,4.0,0.0,98.0,92.0,6.0,2.0,95.0,80.0,18.0,2.0,93.0,87.0,12.0,1.0,95.0,3,279.0,82.0,30.0,07/01/2023,06/30/2024
10011,ST. VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235.0,JEFFERSON,(205) 838-3122,,,,,,,,,,,,,,,,,4,,,,,
10012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968.0,DE KALB,(256) 845-3150,,,,,,,,,,,,,,,,,4,,,,,
10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007.0,SHELBY,(205) 620-8100,96.0,4.0,0.0,98.0,91.0,8.0,1.0,95.0,80.0,17.0,3.0,92.0,79.0,20.0,1.0,93.0,,1348.0,287.0,21.0,07/01/2023,06/30/2024
10018,CALLAHAN EYE HOSPITAL,1720 UNIVERSITY BLVD STE 305,BIRMINGHAM,AL,35233.0,JEFFERSON,(205) 325-8596,,,,,,,,,,,,,,,,,4,,,,,
10019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660.0,COLBERT,(256) 386-4556,96.0,4.0,0.0,98.0,92.0,7.0,1.0,95.0,88.0,11.0,1.0,95.0,85.0,13.0,2.0,94.0,,2239.0,535.0,24.0,07/01/2023,06/30/2024
